entry1,entry2
DB01226,DB01340
DB00488,DB00896
DB04842,DB00302
DB09104,DB04842
DB09039,DB00624
DB00960,DB00091
DB08905,DB01340
DB01235,DB09220
DB09414,DB01092
DB06695,DB01199
DB09039,DB04846
DB00321,DB00498
DB09048,DB12598
DB00195,DB06767
DB01229,DB06288
DB00358,DB09026
DB00302,DB00903
DB01267,DB01033
DB00779,DB05294
DB00257,DB11268
DB00624,DB01059
DB09076,DB08871
DB03619,DB00661
DB00451,DB00736
DB06723,DB04844
DB00679,DB01250
DB06695,DB01016
DB01071,DB01122
DB09280,DB00880
DB06209,DB06789
DB06739,DB00950
DB01082,DB00182
DB01406,DB00261
DB05521,DB00594
DB00921,DB04865
DB09275,DB00688
DB01337,DB00896
DB00817,DB01253
DB01013,DB01359
DB09063,DB09030
DB13167,DB00384
DB01078,DB01433
DB01186,DB05260
DB11921,DB11915
DB00922,DB01551
DB00873,DB00720
DB00945,DB06709
DB11093,DB01067
DB00245,DB00388
DB09290,DB00572
DB09082,DB09104
DB04842,DB01102
DB05541,DB00898
DB01406,DB09053
DB05260,DB06410
DB01623,DB06826
DB01156,DB09123
DB00310,DB00454
DB00232,DB06710
DB01623,DB08933
DB09288,DB00498
DB11156,DB06772
DB00790,DB00268
DB01395,DB01151
DB08804,DB01016
DB00812,DB00876
DB09048,DB04861
DB00467,DB09026
DB04575,DB08933
DB01356,DB00817
DB06826,DB00425
DB13595,DB00657
DB09085,DB09039
DB00710,DB13167
DB01088,DB11915
DB00737,DB01185
DB01247,DB06228
DB00220,DB00584
DB00479,DB01162
DB00887,DB06228
DB00710,DB04946
DB09091,DB00422
DB00903,DB00230
DB00904,DB00584
DB09030,DB06267
DB01578,DB00708
DB00266,DB01122
DB00398,DB00553
DB06207,DB00779
DB00479,DB00846
DB00436,DB06204
DB06718,DB00758
DB00483,DB00953
DB01384,DB00565
DB00454,DB00932
DB00727,DB00519
DB00373,DB00813
DB00335,DB00846
DB09082,DB01088
DB00960,DB01336
DB01627,DB01033
DB01050,DB01340
DB00871,DB09212
DB13142,DB00531
DB00486,DB00619
DB00945,DB01336
DB06738,DB00620
DB00450,DB01151
DB00280,DB00720
DB01013,DB00280
DB01283,DB11915
DB00703,DB01151
DB09091,DB00496
DB00922,DB01422
DB00412,DB00700
DB01283,DB06810
DB00967,DB00805
DB01295,DB03619
DB00813,DB00862
DB09123,DB00654
DB01297,DB00398
DB00881,DB01466
DB01016,DB01020
DB00862,DB00977
DB01327,DB01092
DB05260,DB00796
DB00685,DB06802
DB01133,DB01340
DB00483,DB05265
DB00903,DB13167
DB06767,DB01422
DB00999,DB00584
DB01359,DB00955
DB01007,DB01044
DB01435,DB00589
DB00544,DB00749
DB00876,DB01100
DB00193,DB03754
DB00654,DB00257
DB06826,DB00255
DB00508,DB00302
DB00440,DB01395
DB00765,DB00584
DB00903,DB01050
DB00846,DB05266
DB00811,DB01238
DB00585,DB00440
DB00887,DB01608
DB00892,DB00955
DB04573,DB06237
DB00936,DB03615
DB11921,DB06268
DB05039,DB00684
DB06209,DB00497
DB05039,DB01162
DB01035,DB00255
DB06702,DB01078
DB08971,DB06268
DB00238,DB00699
DB00812,DB06767
DB00700,DB00312
DB01297,DB01421
DB00413,DB09085
DB00585,DB00567
DB01136,DB01032
DB01089,DB00326
DB00685,DB00483
DB00195,DB00199
DB09288,DB00876
DB01035,DB08895
DB00630,DB00150
DB06267,DB08880
DB01205,DB04868
DB01095,DB00630
DB06209,DB01133
DB01035,DB00542
DB00899,DB00977
DB06267,DB00712
DB01255,DB00498
DB00654,DB00412
DB09216,DB06148
DB01367,DB08824
DB00889,DB01135
DB00968,DB01219
DB00285,DB01057
DB01406,DB04868
DB01336,DB00232
DB00993,DB00554
DB01295,DB01116
DB00850,DB11915
DB09275,DB09104
DB01013,DB00628
DB00712,DB12598
DB09000,DB00245
DB03619,DB01297
DB01583,DB01044
DB06772,DB05541
DB01356,DB00531
DB00610,DB00610
DB01089,DB00373
DB00328,DB09053
DB09054,DB00289
DB00741,DB00796
DB01576,DB00258
DB01016,DB00633
DB06791,DB00881
DB01037,DB00302
DB12278,DB01014
DB01336,DB00176
DB01151,DB01422
DB09414,DB01059
DB00779,DB06697
DB00266,DB00695
DB09039,DB01583
DB00310,DB00854
DB00889,DB01041
DB00955,DB00321
DB06810,DB06710
DB01114,DB01365
DB01033,DB00567
DB00373,DB01007
DB09146,DB01608
DB09477,DB01037
DB01122,DB08899
DB00761,DB00519
DB00567,DB00654
DB00449,DB00977
DB00425,DB00751
DB11093,DB01254
DB06154,DB09338
DB00675,DB00610
DB00657,DB00880
DB11699,DB00887
DB01608,DB00790
DB08824,DB00531
DB00972,DB00230
DB00220,DB01151
DB06802,DB01267
DB00890,DB00924
DB01136,DB01297
DB00373,DB04844
DB01355,DB00569
DB00554,DB00254
DB00285,DB00245
DB11921,DB01100
DB12364,DB00728
DB00734,DB00922
DB00675,DB06704
DB01070,DB01057
DB01613,DB01097
DB01201,DB06791
DB00921,DB05266
DB00967,DB00802
DB08905,DB00401
DB00983,DB11315
DB09038,DB09039
DB09055,DB00779
DB00657,DB00871
DB00498,DB06781
DB00628,DB00488
DB06810,DB09138
DB01116,DB00812
DB00710,DB01057
DB00898,DB00596
DB06216,DB09026
DB01239,DB00358
DB09063,DB01007
DB00479,DB00880
DB00933,DB01238
DB00959,DB01142
DB00741,DB01035
DB00862,DB01201
DB06204,DB00610
DB01196,DB01578
DB00338,DB06237
DB01181,DB00384
DB09212,DB06696
DB09026,DB01043
DB00657,DB06267
DB01421,DB00569
DB00993,DB06709
DB00567,DB09123
DB00715,DB00890
DB00418,DB00425
DB00624,DB05541
DB06209,DB00539
DB00328,DB05265
DB00539,DB04865
DB00655,DB00734
DB01613,DB00612
DB04846,DB01337
DB00864,DB01337
DB00589,DB06152
DB00458,DB00498
DB09053,DB00413
DB00476,DB09286
DB00699,DB00853
DB01088,DB13139
DB00890,DB05265
DB13158,DB01116
DB00811,DB00853
DB00565,DB11348
DB06767,DB09030
DB09074,DB00684
DB00245,DB00924
DB01394,DB00873
DB01043,DB01151
DB00925,DB00487
DB00619,DB01104
DB00444,DB01501
DB06710,DB09082
DB06817,DB00737
DB06204,DB00802
DB00925,DB11348
DB01338,DB06764
DB04574,DB13595
DB00896,DB01403
DB01238,DB01033
DB00708,DB01250
DB06767,DB03619
DB00418,DB00709
DB00611,DB09449
DB01336,DB06204
DB06595,DB01355
DB00850,DB00955
DB01235,DB01071
DB01558,DB00377
DB00757,DB11362
DB00434,DB00790
DB01394,DB01205
DB00758,DB01403
DB09030,DB01116
DB06817,DB00444
DB13158,DB00798
DB01175,DB09085
DB06228,DB09104
DB00736,DB01613
DB01406,DB01116
DB00672,DB00808
DB00468,DB01041
DB00377,DB09216
DB01162,DB01239
DB01366,DB00813
DB09000,DB00862
DB06209,DB00649
DB13139,DB01600
DB01283,DB00539
DB00498,DB01229
DB01033,DB00182
DB00761,DB00867
DB06817,DB00291
DB06204,DB03754
DB00238,DB00720
DB06708,DB09244
DB13879,DB01356
DB00567,DB01551
DB09082,DB00611
DB00401,DB00508
DB04842,DB08804
DB13158,DB06267
DB01072,DB06802
DB01059,DB00792
DB06791,DB00697
DB06589,DB06209
DB00326,DB00565
DB01613,DB06767
DB00540,DB00436
DB04865,DB01151
DB00896,DB00846
DB00398,DB06268
DB06697,DB01171
DB00792,DB00945
DB00881,DB09286
DB01114,DB00792
DB01295,DB00624
DB09082,DB00749
DB00910,DB00150
DB09076,DB01229
DB00542,DB00544
DB06410,DB00624
DB01037,DB11093
DB00227,DB06826
DB00619,DB00904
DB00334,DB01254
DB00854,DB01600
DB01033,DB01181
DB00720,DB11315
DB00310,DB05265
DB00496,DB00191
DB09414,DB00875
DB00596,DB00477
DB00720,DB13783
DB00467,DB01014
DB11699,DB00191
DB06595,DB00820
DB06148,DB01185
DB09212,DB06802
DB00222,DB01357
DB08871,DB00657
DB06441,DB00596
DB06237,DB00232
DB00531,DB00479
DB00657,DB09082
DB01067,DB06826
DB00688,DB04846
DB01067,DB09211
DB00238,DB01162
DB00209,DB01437
DB06267,DB05541
DB01103,DB01578
DB01186,DB00933
DB06739,DB01102
DB01620,DB00436
DB00540,DB06152
DB00508,DB00780
DB00741,DB00720
DB09477,DB01437
DB09290,DB06154
DB06204,DB01627
DB01156,DB06228
DB00968,DB00620
DB00421,DB01393
DB09000,DB06704
DB09055,DB01098
DB05294,DB00437
DB00448,DB00872
DB00489,DB01384
DB09477,DB09477
DB00955,DB01070
DB01628,DB00565
DB06152,DB00338
DB09039,DB00955
DB00255,DB09039
DB00612,DB06288
DB06441,DB09104
DB09220,DB09414
DB01167,DB08918
DB01600,DB00321
DB01202,DB00335
DB00792,DB06764
DB06148,DB00209
DB09054,DB00712
DB09288,DB01576
DB01324,DB00519
DB01043,DB00553
DB00697,DB06268
DB08880,DB00633
DB01365,DB00712
DB00867,DB00176
DB00734,DB00904
DB00710,DB00972
DB00452,DB00422
DB09286,DB04844
DB01623,DB06764
DB00866,DB09211
DB01327,DB00737
DB01356,DB08895
DB01394,DB00491
DB01035,DB00394
DB01409,DB03619
DB09074,DB06016
DB09053,DB13783
DB00652,DB00257
DB06826,DB01380
DB01501,DB00245
DB00605,DB00794
DB00953,DB00695
DB01366,DB00872
DB00864,DB00572
DB09138,DB00150
DB00373,DB00922
DB00199,DB00960
DB01050,DB00611
DB09030,DB00867
DB01365,DB00479
DB06410,DB01067
DB00709,DB00391
DB00338,DB00741
DB06704,DB01435
DB11362,DB01059
DB00384,DB09275
DB00946,DB00182
DB06237,DB08918
DB01043,DB11921
DB00353,DB00958
DB00872,DB06263
DB09072,DB00353
DB06710,DB00722
DB01296,DB01583
DB01340,DB00448
DB01014,DB01878
DB01355,DB01226
DB01181,DB00285
DB00428,DB00889
DB01264,DB01082
DB00295,DB01283
DB05260,DB00876
DB09053,DB01226
DB09288,DB08807
DB00191,DB09477
DB00572,DB00936
DB00594,DB00227
DB00946,DB06789
DB08933,DB00700
DB00734,DB00245
DB09244,DB06817
DB01324,DB08807
DB12364,DB00809
DB01020,DB00589
DB01202,DB01291
DB00924,DB00191
DB06016,DB09290
DB08971,DB06288
DB00244,DB11268
DB00384,DB00685
DB00790,DB00449
DB00248,DB00835
DB06708,DB01181
DB01600,DB05528
DB00694,DB01407
DB00540,DB00955
DB04896,DB06148
DB00589,DB01420
DB00610,DB09338
DB00910,DB01078
DB13879,DB00388
DB06701,DB06605
DB00871,DB04946
DB00467,DB01235
DB04573,DB13873
DB01196,DB00302
DB00221,DB01356
DB06723,DB06267
DB00565,DB11699
DB13139,DB00679
DB00734,DB00515
DB01092,DB00720
DB00688,DB09286
DB00199,DB06738
DB00567,DB05528
DB00972,DB11699
DB00612,DB06772
DB01578,DB01201
DB00728,DB00421
DB00497,DB00422
DB00091,DB06781
DB00809,DB09477
DB13167,DB01421
DB00889,DB00544
DB00519,DB01296
DB01201,DB06695
DB01035,DB09290
DB06739,DB00871
DB09000,DB00289
DB01045,DB01421
DB08807,DB00312
DB11156,DB00813
DB00422,DB00873
DB01254,DB09082
DB00497,DB01337
DB08899,DB01295
DB00498,DB00654
DB00585,DB00649
DB01156,DB01878
DB09048,DB00881
DB09074,DB00554
DB05265,DB06204
DB09054,DB01041
DB00712,DB00215
DB00596,DB09048
DB00394,DB00284
DB08899,DB01059
DB01057,DB08881
DB03615,DB05039
DB06810,DB00867
DB00211,DB00335
DB00255,DB06772
DB01057,DB00176
DB01558,DB00245
DB01050,DB01267
DB00685,DB09055
DB00252,DB06148
DB00150,DB01013
DB09048,DB00873
DB01142,DB00624
DB01393,DB05541
DB00295,DB01057
DB00887,DB01239
DB00261,DB01325
DB00655,DB00654
DB05541,DB00649
DB00596,DB06589
DB00437,DB00732
DB00401,DB01071
DB00846,DB00757
DB06723,DB00589
DB01032,DB00437
DB09038,DB00843
DB00257,DB04951
DB00661,DB12278
DB00610,DB01355
DB01171,DB00663
DB00784,DB06802
DB01135,DB00448
DB01324,DB06701
DB01338,DB00867
DB08804,DB04951
DB01104,DB00526
DB00209,DB06267
DB00880,DB00937
DB00925,DB01050
DB00594,DB08804
DB00765,DB06154
DB01384,DB12598
DB00451,DB00280
DB00498,DB06704
DB01226,DB01089
DB06263,DB05521
DB00805,DB01043
DB00796,DB01078
DB09030,DB06789
DB06237,DB00209
DB00741,DB00612
DB06410,DB01162
DB00812,DB00922
DB01409,DB01043
DB00491,DB00630
DB09123,DB00221
DB00542,DB09041
DB09449,DB01600
DB00230,DB09055
DB01324,DB01239
DB06016,DB01384
DB00310,DB01007
DB01433,DB06154
DB00468,DB00434
DB09095,DB00363
DB01097,DB09280
DB09095,DB01097
DB00887,DB09039
DB08824,DB00542
DB00338,DB00703
DB00199,DB06708
DB00728,DB00950
DB06701,DB09048
DB01156,DB06605
DB01016,DB06709
DB00422,DB09536
DB06701,DB00232
DB00761,DB01583
DB08918,DB01878
DB00199,DB01037
DB06016,DB00193
DB00214,DB00388
DB09241,DB00544
DB00326,DB01033
DB09048,DB00215
DB01067,DB00531
DB08880,DB00955
DB00960,DB01199
DB00751,DB06441
DB00657,DB01319
DB00867,DB01357
DB00695,DB01600
DB01267,DB09414
DB01264,DB00712
DB00448,DB05294
DB00890,DB09041
DB01357,DB06767
DB01156,DB01403
DB06710,DB00596
DB01082,DB00922
DB00326,DB01267
DB00326,DB00491
DB08905,DB00261
DB01338,DB06723
DB00967,DB05294
DB06288,DB01162
DB01626,DB04946
DB00550,DB01878
DB06738,DB01201
DB09245,DB00191
DB01628,DB09244
DB05265,DB00866
DB09053,DB00655
DB00864,DB00811
DB00268,DB00620
DB00496,DB00150
DB00921,DB13158
DB03754,DB11315
DB01297,DB08933
DB11093,DB04574
DB13595,DB00539
DB01185,DB01878
DB01340,DB00363
DB01623,DB09280
DB00244,DB00284
DB00630,DB00752
DB00871,DB00596
DB01384,DB00180
DB09338,DB06589
DB00605,DB00199
DB11268,DB11268
DB01355,DB06016
DB00589,DB00817
DB00672,DB00291
DB01247,DB00245
DB11921,DB13873
DB00422,DB00460
DB09536,DB00222
DB00811,DB01037
DB01043,DB01104
DB06708,DB09211
DB01337,DB09095
DB06791,DB00248
DB00211,DB00425
DB01081,DB00960
DB00479,DB08918
DB00925,DB11268
DB00611,DB05265
DB03754,DB00946
DB01327,DB09275
DB00628,DB00425
DB09449,DB00585
DB01384,DB00623
DB01365,DB09414
DB08899,DB06791
DB01185,DB09216
DB04868,DB01021
DB00796,DB00193
DB09039,DB01551
DB09055,DB09477
DB08881,DB00422
DB01623,DB00808
DB01395,DB00202
DB00862,DB08905
DB00630,DB01114
DB00508,DB00955
DB00734,DB01576
DB00220,DB00798
DB00620,DB00765
DB01336,DB01193
DB00813,DB00321
DB08871,DB12364
DB05039,DB01437
DB01600,DB00544
DB00810,DB13167
DB00695,DB08984
DB00700,DB09104
DB04844,DB06826
DB00584,DB00476
DB00875,DB01466
DB00524,DB01116
DB01043,DB01226
DB09054,DB00497
DB01035,DB00734
DB01255,DB00508
DB09146,DB00736
DB04896,DB00899
DB00699,DB00531
DB01200,DB00476
DB00327,DB00257
DB00180,DB00091
DB08895,DB00338
DB00924,DB00619
DB09288,DB01088
DB00472,DB00539
DB01355,DB05521
DB00222,DB01155
DB04896,DB00697
DB01366,DB00353
DB01082,DB01600
DB04896,DB06704
DB00700,DB00257
DB01435,DB09091
DB11915,DB01319
DB00422,DB00614
DB01081,DB06767
DB00612,DB01403
DB06267,DB01072
DB06148,DB05541
DB00854,DB06738
DB01078,DB01337
DB06589,DB00448
DB00425,DB00540
DB01238,DB05521
DB01037,DB00176
DB01050,DB00487
DB00215,DB01264
DB01235,DB00476
DB00780,DB00697
DB09449,DB00876
DB00933,DB00575
DB00199,DB09082
DB01600,DB06826
DB00238,DB01013
DB08899,DB00321
DB00467,DB11093
DB00953,DB00176
DB04896,DB00295
DB00887,DB01336
DB00708,DB00486
DB01325,DB01067
DB01250,DB00695
DB01201,DB01394
DB01136,DB01072
DB01186,DB00780
DB01097,DB00817
DB00230,DB05541
DB01071,DB01367
DB00757,DB06697
DB00722,DB00790
DB06708,DB04868
DB01437,DB00737
DB09026,DB01435
DB00932,DB00412
DB01203,DB01340
DB00796,DB04861
DB00363,DB04842
DB13783,DB09095
DB01135,DB00468
DB01116,DB01466
DB00472,DB00710
DB08899,DB08971
DB00252,DB00450
DB08880,DB01156
DB08880,DB00338
DB01097,DB01078
DB00722,DB00230
DB00672,DB00866
DB00295,DB01203
DB06216,DB00458
DB00353,DB01394
DB00880,DB01203
DB00661,DB09038
DB01175,DB00203
DB00726,DB00254
DB00652,DB00752
DB00757,DB00619
DB00412,DB04896
DB01551,DB04946
DB00220,DB00539
DB06723,DB00451
DB00972,DB00199
DB01082,DB08984
DB09245,DB00584
DB06016,DB08933
DB06207,DB00867
DB06263,DB00936
DB11921,DB00232
DB00898,DB06267
DB09053,DB00199
DB09167,DB00476
DB06228,DB01196
DB00854,DB01267
DB08881,DB00726
DB09245,DB01393
DB01151,DB00722
DB00726,DB01037
DB01356,DB01238
DB08984,DB09095
DB00872,DB01254
DB06697,DB01264
DB13783,DB00765
DB00477,DB00232
DB00422,DB00321
DB01059,DB06723
DB00497,DB00933
DB06589,DB00983
DB06267,DB01136
DB06701,DB00289
DB00193,DB01367
DB01267,DB01433
DB09076,DB00238
DB00230,DB00765
DB00679,DB00904
DB00679,DB04896
DB06695,DB00498
DB01116,DB00373
DB00420,DB05039
DB00968,DB01247
DB01071,DB01623
DB01203,DB06826
DB00436,DB01199
DB06207,DB00321
DB01095,DB00227
DB08899,DB00846
DB00468,DB00203
DB00295,DB00758
DB09030,DB00946
DB01254,DB05521
DB01186,DB01295
DB00780,DB00876
DB01133,DB01421
DB00479,DB00314
DB09138,DB00684
DB09477,DB00734
DB00732,DB01356
DB01384,DB01254
DB00496,DB01072
DB00864,DB05260
DB00444,DB05521
DB00452,DB00945
DB00312,DB00734
DB00428,DB13783
DB01250,DB00720
DB00284,DB01171
DB00425,DB00257
DB00312,DB00875
DB00238,DB00401
DB00373,DB00422
DB01384,DB01406
DB01171,DB00871
DB00363,DB09054
DB04868,DB05521
DB00904,DB01466
DB00508,DB00950
DB00390,DB00489
DB00238,DB00477
DB00872,DB00310
DB01097,DB00663
DB01235,DB00496
DB00498,DB00993
DB00657,DB00921
DB01162,DB00230
DB00802,DB00199
DB00496,DB06595
DB00873,DB01072
DB01356,DB09000
DB00497,DB00695
DB00898,DB01171
DB00312,DB00589
DB00904,DB01319
DB04846,DB01167
DB00687,DB00491
DB00972,DB00477
DB01045,DB06228
DB01283,DB00903
DB08899,DB01628
DB06605,DB00472
DB01193,DB09082
DB00312,DB00238
DB04951,DB00741
DB01095,DB00444
DB00633,DB01151
DB00483,DB00684
DB00712,DB00685
DB06288,DB00734
DB00864,DB08882
DB08905,DB00358
DB06589,DB00813
DB09039,DB00195
DB04896,DB01466
DB04574,DB09220
DB09477,DB00531
DB01186,DB08882
DB04842,DB09085
DB00425,DB00468
DB00780,DB01203
DB00899,DB01162
DB01203,DB06268
DB00540,DB00220
DB13167,DB06781
DB00421,DB06767
DB00531,DB00412
DB00876,DB08880
DB00679,DB00214
DB00614,DB00790
DB00418,DB01151
DB00420,DB00398
DB13142,DB00630
DB01365,DB04946
DB00708,DB01219
DB01114,DB01142
DB00835,DB00736
DB00960,DB04861
DB01162,DB01291
DB01626,DB04844
DB00458,DB00765
DB00741,DB01016
DB01151,DB01367
DB00993,DB09477
DB01229,DB00254
DB00222,DB00467
DB11921,DB00808
DB09352,DB00420
DB12598,DB00999
DB01201,DB00496
DB00193,DB00933
DB00491,DB00715
DB00454,DB01254
DB00230,DB01551
DB06148,DB00257
DB00472,DB06288
DB09280,DB00932
DB01367,DB06288
DB00620,DB00655
DB00610,DB01365
DB06207,DB00584
DB00327,DB01501
DB00421,DB01203
DB00850,DB06204
DB06701,DB00540
DB00486,DB00182
DB00214,DB00880
DB00611,DB00697
DB00425,DB00497
DB00946,DB05266
DB00479,DB00688
DB00295,DB00199
DB00679,DB00401
DB09270,DB09074
DB00238,DB00959
DB00468,DB05294
DB00312,DB00925
DB00732,DB00091
DB01114,DB09074
DB01576,DB01239
DB08895,DB00612
DB01155,DB01078
DB00843,DB01095
DB01576,DB00540
DB01229,DB08881
DB00312,DB00967
DB00454,DB01202
DB01355,DB01324
DB08899,DB08881
DB06016,DB00257
DB00312,DB00567
DB00454,DB00758
DB00620,DB00695
DB01253,DB09048
DB00519,DB01050
DB06702,DB01254
DB01501,DB04844
DB08938,DB00846
DB00394,DB01199
DB01136,DB00712
DB06701,DB00257
DB00594,DB01014
DB09095,DB00903
DB00953,DB00268
DB01100,DB06216
DB00398,DB01072
DB13783,DB00687
DB09123,DB00289
DB00933,DB04868
DB00734,DB01501
DB06204,DB00191
DB06701,DB00176
DB00610,DB00248
DB00796,DB01095
DB00808,DB01020
DB01071,DB09241
DB00312,DB09082
DB01135,DB01356
DB08905,DB00524
DB00663,DB01059
DB01437,DB01219
DB09076,DB00486
DB01045,DB06268
DB00203,DB00373
DB00922,DB09286
DB00999,DB01078
DB00688,DB09280
DB01628,DB00720
DB00091,DB00864
DB00261,DB06216
DB00321,DB00412
DB00261,DB01296
DB01142,DB09449
DB11268,DB06605
DB00843,DB00809
DB00810,DB12278
DB01156,DB00398
DB00794,DB06710
DB00652,DB00614
DB00451,DB01254
DB00258,DB00661
DB00575,DB00195
DB00575,DB08868
DB00835,DB00758
DB09085,DB00285
DB04896,DB00875
DB01433,DB09352
DB01608,DB00854
DB01355,DB00790
DB00728,DB03615
DB01421,DB00605
DB01095,DB00932
DB13142,DB01324
DB00872,DB06267
DB00289,DB09082
DB00394,DB00903
DB01021,DB00715
DB01013,DB01226
DB00468,DB00436
DB00757,DB08868
DB00960,DB01097
DB00203,DB00492
DB00418,DB08807
DB12278,DB01466
DB00222,DB00338
DB01200,DB00358
DB00266,DB01406
DB00850,DB00422
DB01171,DB00623
DB01409,DB00486
DB00697,DB08881
DB00623,DB01136
DB00846,DB00999
DB11921,DB00524
DB00180,DB00254
DB01200,DB00377
DB00936,DB04951
DB00802,DB01203
DB00875,DB01167
DB00363,DB09038
DB00390,DB00812
DB09216,DB00695
DB06772,DB06791
DB09026,DB06739
DB01355,DB09038
DB08984,DB00232
DB09477,DB00421
DB00232,DB01104
DB01466,DB09072
DB00554,DB00749
DB09085,DB09072
DB06228,DB04573
DB00472,DB09048
DB09244,DB01367
DB06810,DB00314
DB00794,DB09054
DB00655,DB00338
DB00285,DB01623
DB00749,DB00468
DB01171,DB01291
DB01067,DB00472
DB00873,DB00436
DB06723,DB01070
DB01551,DB01324
DB01114,DB01156
DB08899,DB00972
DB00542,DB01136
DB00248,DB01171
DB00312,DB00451
DB00384,DB00390
